Bottom,Left,Right,Heading,Top,Yawlate,LateralAcceleration,Lanemarker
89.0,-0.09,0.08,-0.37,-0.2,-4.95,0.045,0.0
89.0,-0.09,0.08,-0.37,-0.2,-4.95,0.045,0.0
89.0,-0.09,0.08,-0.37,-0.2,-4.95,0.011000000000000001,0.0
89.0,-0.09,0.08,-0.37,-0.2,-4.95,0.011000000000000001,0.0
89.0,-0.09,0.08,-0.37,-0.2,-4.95,0.011000000000000001,0.0
89.0,-0.09,0.08,-0.37,-0.2,-4.95,0.011000000000000001,0.0
89.0,-0.09,0.08,-0.37,-0.2,-4.95,0.011000000000000001,0.0
89.0,-0.09,0.08,-0.37,-0.2,-4.95,0.011000000000000001,0.0
89.0,-0.09,0.08,-0.37,-0.2,-4.95,0.011000000000000001,0.0
89.0,-0.09,0.08,-0.37,-0.2,-4.95,0.011000000000000001,0.0
89.0,-0.09,0.08,-0.37,-0.2,-4.95,0.011000000000000001,0.0
89.0,-0.09,0.08,-0.37,-0.2,-4.95,0.011000000000000001,0.0
89.0,-0.09,0.08,-0.37,-0.2,-4.95,0.011000000000000001,0.0
89.0,-0.09,0.08,-0.37,-0.2,-4.95,0.011000000000000001,0.0
89.0,-0.09,0.08,-0.37,-0.2,-4.95,0.011000000000000001,0.0
89.0,-0.09,0.08,-0.37,-0.2,-4.95,0.011000000000000001,0.0
89.0,-0.09,0.08,-0.37,-0.2,-4.95,0.011000000000000001,0.0
89.0,-0.09,0.08,-0.37,-0.2,-4.95,0.011000000000000001,0.0
89.0,-0.09,0.08,-0.37,-0.2,-4.95,0.011000000000000001,0.0
89.0,-0.09,0.08,-0.37,-0.2,-4.95,0.011000000000000001,0.0
89.0,-0.09,0.08,-0.37,-0.2,-4.94,0.011000000000000001,0.0
89.0,-0.09,0.08,-0.37,-0.2,-4.94,0.011000000000000001,0.0
89.0,-0.09,0.08,-0.37,-0.2,-4.94,0.011000000000000001,0.0
89.0,-0.09,0.08,-0.37,-0.2,-4.94,0.011000000000000001,0.0
89.0,-0.09,0.08,-0.37,-0.2,-4.94,0.011000000000000001,0.0
89.0,-0.09,0.08,-0.37,-0.2,-4.94,0.011000000000000001,0.0
88.0,-0.09,0.08,-0.37,-0.2,-4.94,0.011000000000000001,0.0
88.0,-0.09,0.08,-0.37,-0.2,-4.94,0.011000000000000001,0.0
88.0,-0.09,0.08,-0.37,-0.2,-4.94,0.011000000000000001,0.0
88.0,-0.09,0.08,-0.37,-0.2,-4.94,0.011000000000000001,0.0
88.0,-0.09,0.08,-0.37,-0.2,-4.94,0.011000000000000001,0.0
88.0,-0.09,0.08,-0.37,-0.2,-4.94,0.011000000000000001,0.0
88.0,-0.09,0.08,-0.37,-0.2,-4.94,0.011000000000000001,0.0
88.0,-0.09,0.08,-0.37,-0.2,-4.94,0.011000000000000001,0.0
88.0,-0.09,0.08,-0.37,-0.2,-4.94,0.011000000000000001,0.0
88.0,-0.09,0.08,-0.37,-0.2,-4.94,0.011000000000000001,0.0
88.0,-0.09,0.08,-0.37,-0.2,-4.94,0.011000000000000001,0.0
88.0,-0.09,0.08,-0.37,-0.2,-4.94,0.011000000000000001,0.0
88.0,-0.09,0.08,-0.37,-0.2,-4.94,0.011000000000000001,0.0
88.0,-0.09,0.08,-0.37,-0.2,-4.94,0.011000000000000001,0.0
87.0,-0.09,0.08,-0.37,-0.2,-4.94,0.046,0.0
87.0,-0.09,0.08,-0.37,-0.2,-4.94,0.046,0.0
87.0,-0.09,0.08,-0.37,-0.2,-4.94,0.046,0.0
87.0,-0.09,0.08,-0.37,-0.2,-4.94,0.046,0.0
87.0,-0.09,0.07,-0.37,-0.2,-4.94,0.046,0.0
87.0,-0.09,0.07,-0.37,-0.2,-4.94,0.046,0.0
87.0,-0.09,0.07,-0.37,-0.2,-4.94,0.046,0.0
87.0,-0.09,0.07,-0.37,-0.2,-4.94,0.046,0.0
87.0,-0.09,0.07,-0.37,-0.2,-4.94,0.046,0.0
